Score,UpCourt,DownCourt,Start,End,Comment
1_00_01,CHOU Tien Chen,CHEN Long,10452,10708,No
1_01_01,CHOU Tien Chen,CHEN Long,11098,11269,No
1_02_01,CHOU Tien Chen,CHEN Long,11706,11794,No
1_02_02,CHOU Tien Chen,CHEN Long,12159,12373,No
1_03_02,CHOU Tien Chen,CHEN Long,12736,12926,No
1_03_03,CHOU Tien Chen,CHEN Long,13418,13573,No
1_04_03,CHOU Tien Chen,CHEN Long,13933,14878,No
1_04_04,CHOU Tien Chen,CHEN Long,16351,16614,No
1_04_05,CHOU Tien Chen,CHEN Long,16953,17120,No
1_04_06,CHOU Tien Chen,CHEN Long,17532,17756,No
1_05_06,CHOU Tien Chen,CHEN Long,18119,18494,No
1_06_06,CHOU Tien Chen,CHEN Long,19525,19814,No
1_06_07,CHOU Tien Chen,CHEN Long,20663,20849,No
1_07_07,CHOU Tien Chen,CHEN Long,21160,21298,No
1_07_08,CHOU Tien Chen,CHEN Long,21813,21926,No
1_07_09,CHOU Tien Chen,CHEN Long,22554,22742,No
1_08_09,CHOU Tien Chen,CHEN Long,23617,24086,No
1_08_10,CHOU Tien Chen,CHEN Long,24559,25363,No
1_08_11,CHOU Tien Chen,CHEN Long,26554,26997,yes
1_09_11,CHOU Tien Chen,CHEN Long,29562,29906,yes
1_10_11,CHOU Tien Chen,CHEN Long,30478,30657,No
1_11_11,CHOU Tien Chen,CHEN Long,31069,31443,No
1_11_12,CHOU Tien Chen,CHEN Long,31932,32247,No
1_11_13,CHOU Tien Chen,CHEN Long,32740,32873,No
1_12_13,CHOU Tien Chen,CHEN Long,33440,33717,No
1_12_14,CHOU Tien Chen,CHEN Long,34693,35007,No
1_13_14,CHOU Tien Chen,CHEN Long,36141,36407,yes
1_14_14,CHOU Tien Chen,CHEN Long,36894,37368,yes
1_15_14,CHOU Tien Chen,CHEN Long,38014,38203,yes
1_16_14,CHOU Tien Chen,CHEN Long,38897,39030,yes
1_17_14,CHOU Tien Chen,CHEN Long,39574,39896,yes
1_18_14,CHOU Tien Chen,CHEN Long,40522,40655,yes
1_19_14,CHOU Tien Chen,CHEN Long,41118,41510,yes
1_20_14,CHOU Tien Chen,CHEN Long,43080,43341,yes
1_20_15,CHOU Tien Chen,CHEN Long,44551,44659,yes
1_20_16,CHOU Tien Chen,CHEN Long,45150,45555,yes
1_20_17,CHOU Tien Chen,CHEN Long,46249,46810,yes
1_21_17,CHOU Tien Chen,CHEN Long,47557,48012,yes
2_01_00,CHEN Long,CHOU Tien Chen,51938,52159,yes
2_02_00,CHEN Long,CHOU Tien Chen,53065,53136,yes
2_03_00,CHEN Long,CHOU Tien Chen,53577,53932,yes
2_03_01,CHEN Long,CHOU Tien Chen,54476,54608,yes
2_03_02,CHEN Long,CHOU Tien Chen,54918,55292,yes
2_03_03,CHEN Long,CHOU Tien Chen,55857,55989,yes
2_04_03,CHEN Long,CHOU Tien Chen,56610,56848,yes
2_04_04,CHEN Long,CHOU Tien Chen,57931,58202,yes
2_04_05,CHEN Long,CHOU Tien Chen,58616,59088,yes
2_05_05,CHEN Long,CHOU Tien Chen,59504,59675,yes
2_05_06,CHEN Long,CHOU Tien Chen,60417,60586,yes
2_06_06,CHEN Long,CHOU Tien Chen,61075,61227,yes
2_07_06,CHEN Long,CHOU Tien Chen,61695,61921,yes
2_07_07,CHEN Long,CHOU Tien Chen,62468,62723,yes
2_08_07,CHEN Long,CHOU Tien Chen,63271,63513,yes
2_08_08,CHEN Long,CHOU Tien Chen,64186,64258,yes
2_08_09,CHEN Long,CHOU Tien Chen,64647,65130,yes
2_08_10,CHEN Long,CHOU Tien Chen,65932,66316,yes
2_09_10,CHEN Long,CHOU Tien Chen,68274,68450,yes
2_09_11,CHEN Long,CHOU Tien Chen,69403,69603,yes
2_09_12,CHEN Long,CHOU Tien Chen,71845,72230,yes
2_09_13,CHEN Long,CHOU Tien Chen,72714,73286,yes
2_10_13,CHEN Long,CHOU Tien Chen,74012,74163,yes
2_11_13,CHEN Long,CHOU Tien Chen,74601,74877,yes
2_11_14,CHEN Long,CHOU Tien Chen,75447,75883,yes
2_12_14,CHEN Long,CHOU Tien Chen,77089,77504,yes
2_12_15,CHEN Long,CHOU Tien Chen,78539,79036,yes
2_13_15,CHEN Long,CHOU Tien Chen,79968,80210,yes
2_14_15,CHEN Long,CHOU Tien Chen,80753,81224,yes
2_15_15,CHEN Long,CHOU Tien Chen,82642,82870,yes
2_16_15,CHEN Long,CHOU Tien Chen,83720,83822,yes
2_16_16,CHEN Long,CHOU Tien Chen,84442,84819,yes
2_17_16,CHEN Long,CHOU Tien Chen,85701,85991,yes
2_17_17,CHEN Long,CHOU Tien Chen,86612,87256,yes
2_18_17,CHEN Long,CHOU Tien Chen,89035,89274,yes
2_19_17,CHEN Long,CHOU Tien Chen,89948,90307,yes
2_20_17,CHEN Long,CHOU Tien Chen,91135,91312,yes
2_21_17,CHEN Long,CHOU Tien Chen,91881,92131,yes
