index,x,y
5,650,266
6,645,257
7,640,255
8,635,252
9,623,258
11,615,258
12,608,261
13,603,266
14,597,271
15,591,278
16,586,286
17,581,293
18,576,303
19,571,316
20,567,327
26,533,325
27,531,308
28,530,296
29,526,286
30,521,277
31,515,271
32,511,266
33,506,262
34,503,261
35,501,261
36,498,260
37,497,260
38,495,261
39,493,266
40,490,271
41,486,273
42,485,281
43,481,288
44,481,296
45,478,305
46,498,282
47,515,255
48,535,236
49,550,218
50,563,206
51,577,191
52,588,181
53,601,171
54,613,166
55,625,161
56,636,156
57,646,155
58,653,155
59,665,155
60,673,156
61,681,161
62,691,165
63,698,171
64,706,178
65,703,182
67,726,208
68,736,226
69,741,238
70,747,253
71,751,270
72,758,287
73,763,308
74,766,326
75,772,346
76,776,367
77,777,383
78,777,412
85,581,251
86,571,248
87,561,247
88,551,246
89,546,250
90,538,251
91,531,253
92,527,258
93,521,262
94,518,266
95,512,273
96,508,281
97,506,283
98,530,266
100,563,241
101,578,231
102,592,226
103,606,221
104,616,216
105,628,213
106,640,212
107,651,213
108,660,216
109,668,218
110,678,222
111,687,228
112,696,236
113,703,243
114,711,253
115,717,265
116,726,276
117,731,288
118,706,281
124,618,237
125,608,237
126,601,238
127,593,241
128,586,243
129,581,246
130,576,253
131,571,260
132,566,263
133,561,272
134,556,281
135,553,287
136,550,296
137,546,306
138,543,316
139,541,326
140,538,336
142,533,357
144,533,353
148,597,248
150,525,352
151,525,351
154,518,351
155,516,353
156,516,353
157,516,353
158,515,353
159,483,155
161,483,152
162,513,353
164,516,352
166,517,245
167,517,243
168,518,242
169,516,243
170,517,241
171,517,241
172,518,241
