rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:59,10478.0,0,1,A,1,發短球,,1.0,2.0,,,,,8.0,568.0,328.0,,,,,8.0,643.0,468.0,8.0,576.0,304.0,0
1,2.0,00:06:59,10496.0,0,1,B,2,推球,,,2.0,8.0,568.0,328.0,,5.0,828.0,580.0,,,,,8.0,592.0,331.0,8.0,650.0,477.0,0
1,3.0,00:07:01,10525.0,0,1,A,2,切球,,,1.0,5.0,828.0,580.0,,6.0,748.0,302.0,,,,,9.0,792.0,592.0,8.0,638.0,300.0,0
1,4.0,00:07:01,10547.0,0,1,B,2,推球,,1.0,2.0,6.0,748.0,302.0,,8.0,753.0,583.0,,,,,8.0,724.0,302.0,8.0,729.0,504.0,0
1,5.0,00:07:03,10582.0,0,1,A,2,過度切球,,,1.0,8.0,753.0,583.0,,6.0,775.0,328.0,,,,,8.0,744.0,576.0,8.0,638.0,300.0,0
1,6.0,00:07:04,10605.0,0,1,B,2,放小球,,1.0,2.0,6.0,775.0,328.0,,1.0,784.0,403.0,,,,,8.0,739.0,328.0,8.0,676.0,547.0,0
1,7.0,00:07:05,10630.0,0,1,A,2,挑球,,,2.0,1.0,784.0,403.0,,4.0,760.0,266.0,,,,,1.0,765.0,420.0,8.0,717.0,331.0,0
1,8.0,00:07:07,10679.0,0,1,B,3,殺球,,,1.0,4.0,760.0,266.0,,6.0,463.0,532.0,對手落地致勝,落地致勝,B,,4.0,763.0,264.0,8.0,712.0,504.0,0
2,1.0,00:07:24,11101.0,1,1,B,1,發短球,,1.0,2.0,,,,,7.0,556.0,448.0,,,,,8.0,638.0,307.0,8.0,552.0,513.0,0
2,2.0,00:07:24,11120.0,1,1,A,2,放小球,,,2.0,7.0,556.0,448.0,,1.0,482.0,336.0,,,,,8.0,566.0,482.0,8.0,616.0,312.0,0
2,3.0,00:07:25,11142.0,1,1,B,2,推球,,,2.0,1.0,482.0,336.0,,3.0,799.0,592.0,,,,,1.0,528.0,338.0,8.0,573.0,470.0,0
2,4.0,00:07:26,11174.0,1,1,A,2,切球,,,1.0,3.0,799.0,592.0,,5.0,504.0,328.0,,,,,9.0,751.0,600.0,8.0,600.0,307.0,0
2,5.0,00:07:27,11193.0,1,1,B,2,推球,,,2.0,5.0,504.0,328.0,,8.0,732.0,525.0,,,,,8.0,537.0,324.0,8.0,696.0,564.0,0
2,6.0,00:07:28,11214.0,1,1,A,2,點扣,,,1.0,8.0,732.0,525.0,,7.0,542.0,338.0,,,,,8.0,655.0,518.0,8.0,578.0,312.0,0
2,7.0,00:07:29,11237.0,1,1,B,3,擋小球,,,2.0,7.0,542.0,338.0,,1.0,523.0,352.0,未過網,對手未過網,A,,8.0,576.0,328.0,8.0,700.0,535.0,0
3,1.0,00:07:49,11741.0,2,1,A,1,發短球,,1.0,2.0,,,,,7.0,674.0,345.0,,,,,8.0,624.0,477.0,8.0,708.0,295.0,0
3,2.0,00:07:50,11757.0,2,1,B,3,放小球,,,2.0,7.0,674.0,345.0,,10.0,856.0,417.0,出界,對手出界,A,,8.0,681.0,331.0,8.0,643.0,477.0,0
4,1.0,00:08:06,12166.0,2,2,A,1,發短球,,1.0,2.0,,,,,7.0,552.0,336.0,,,,,8.0,636.0,475.0,8.0,578.0,302.0,0
4,2.0,00:08:07,12183.0,2,2,B,2,推球,,,2.0,7.0,552.0,336.0,,6.0,456.0,492.0,,,,,7.0,604.0,343.0,8.0,645.0,482.0,0
4,3.0,00:08:08,12202.0,2,2,A,2,防守回抽,,1.0,1.0,6.0,456.0,492.0,,8.0,720.0,333.0,,,,,8.0,585.0,508.0,8.0,592.0,316.0,0
4,4.0,00:08:08,12222.0,2,2,B,2,推球,,1.0,2.0,8.0,720.0,333.0,,6.0,472.0,576.0,,,,,8.0,684.0,316.0,8.0,585.0,516.0,0
4,5.0,00:08:10,12253.0,2,2,A,2,長球,,1.0,1.0,6.0,472.0,576.0,,3.0,528.0,268.0,,,,,8.0,516.0,580.0,8.0,595.0,300.0,0
4,6.0,00:08:11,12286.0,2,2,B,2,長球,,,1.0,3.0,528.0,268.0,,6.0,417.0,542.0,,,,,9.0,547.0,264.0,8.0,628.0,520.0,0
4,7.0,00:08:12,12317.0,2,2,A,2,過度切球,,1.0,1.0,6.0,417.0,542.0,,5.0,501.0,331.0,,,,,6.0,472.0,578.0,8.0,588.0,295.0,0
4,8.0,00:08:13,12330.0,2,2,B,3,撲球,,,1.0,5.0,501.0,331.0,,4.0,355.0,607.0,對手落地致勝,落地致勝,B,,5.0,518.0,321.0,8.0,568.0,535.0,0
5,1.0,00:08:29,12744.0,3,2,B,1,發短球,,1.0,2.0,,,,,7.0,760.0,441.0,,,,,8.0,621.0,319.0,8.0,708.0,516.0,0
5,2.0,00:08:30,12764.0,3,2,A,2,推球,,,2.0,7.0,760.0,441.0,,3.0,523.0,271.0,,,,,8.0,729.0,468.0,8.0,621.0,319.0,0
5,3.0,00:08:31,12799.0,3,2,B,2,過度切球,,,1.0,3.0,523.0,271.0,,6.0,427.0,496.0,,,,,3.0,542.0,256.0,8.0,640.0,484.0,0
5,4.0,00:08:32,12813.0,3,2,A,2,放小球,,1.0,1.0,6.0,427.0,496.0,,1.0,465.0,336.0,,,,,8.0,595.0,489.0,8.0,556.0,273.0,0
5,5.0,00:08:33,12834.0,3,2,B,2,挑球,,,2.0,1.0,465.0,336.0,,6.0,424.0,525.0,,,,,5.0,513.0,328.0,8.0,556.0,499.0,0
5,6.0,00:08:34,12859.0,3,2,A,2,點扣,1.0,,1.0,6.0,424.0,525.0,,5.0,480.0,288.0,,,,,8.0,511.0,556.0,8.0,576.0,297.0,0
5,7.0,00:08:34,12868.0,3,2,B,2,防守回挑,,,2.0,5.0,480.0,288.0,,8.0,588.0,504.0,,,,,8.0,552.0,290.0,8.0,506.0,556.0,0
5,8.0,00:08:35,12892.0,3,2,A,3,殺球,,,1.0,8.0,588.0,504.0,1.0,5.0,530.0,297.0,對手落地致勝,落地致勝,A,,8.0,511.0,504.0,8.0,571.0,283.0,0
6,1.0,00:08:57,13432.0,3,3,A,1,發短球,,1.0,2.0,,,,,8.0,669.0,331.0,,,,,8.0,624.0,484.0,8.0,705.0,300.0,0
6,2.0,00:08:58,13450.0,3,3,B,2,推球,,1.0,2.0,8.0,669.0,331.0,,4.0,415.0,592.0,,,,,8.0,628.0,324.0,8.0,636.0,470.0,0
6,3.0,00:08:59,13477.0,3,3,A,2,過度切球,,1.0,1.0,4.0,415.0,592.0,,7.0,744.0,336.0,,,,,4.0,458.0,597.0,8.0,578.0,295.0,0
6,4.0,00:08:59,13498.0,3,3,B,2,推球,,1.0,2.0,7.0,744.0,336.0,,5.0,866.0,540.0,,,,,8.0,700.0,328.0,8.0,602.0,535.0,0
6,5.0,00:09:00,13520.0,3,3,A,2,後場抽平球,,,2.0,5.0,866.0,540.0,,6.0,748.0,283.0,,,,,5.0,796.0,542.0,8.0,667.0,302.0,0
6,6.0,00:09:01,13537.0,3,3,B,3,殺球,1.0,,1.0,6.0,748.0,283.0,,5.0,813.0,566.0,對手落地致勝,落地致勝,B,,8.0,700.0,283.0,8.0,765.0,559.0,0
7,1.0,00:09:19,13982.0,4,3,B,1,發短球,,1.0,2.0,,,,,7.0,559.0,446.0,,,,,8.0,638.0,307.0,8.0,549.0,506.0,0
