Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,1,650,266
6,1,645,257
7,1,640,255
8,1,635,252
9,1,623,258
10,0,0,0
11,1,615,258
12,1,608,261
13,1,603,266
14,1,597,271
15,1,591,278
16,1,586,286
17,1,581,293
18,1,576,303
19,1,571,316
20,1,567,327
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,1,533,325
27,1,531,308
28,1,530,296
29,1,526,286
30,1,521,277
31,1,515,271
32,1,511,266
33,1,506,262
34,1,503,261
35,1,501,261
36,1,498,260
37,1,497,260
38,1,495,261
39,1,493,266
40,1,490,271
41,1,486,273
42,1,485,281
43,1,481,288
44,1,481,296
45,1,478,305
46,1,498,282
47,1,515,255
48,1,535,236
49,1,550,218
50,1,563,206
51,1,577,191
52,1,588,181
53,1,601,171
54,1,613,166
55,1,625,161
56,1,636,156
57,1,646,155
58,1,653,155
59,1,665,155
60,1,673,156
61,1,681,161
62,1,691,165
63,1,698,171
64,1,706,178
65,1,703,182
66,0,0,0
67,1,726,208
68,1,736,226
69,1,741,238
70,1,747,253
71,1,751,270
72,1,758,287
73,1,763,308
74,1,766,326
75,1,772,346
76,1,776,367
77,1,777,383
78,1,777,412
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,1,581,251
86,1,571,248
87,1,561,247
88,1,551,246
89,1,546,250
90,1,538,251
91,1,531,253
92,1,527,258
93,1,521,262
94,1,518,266
95,1,512,273
96,1,508,281
97,1,506,283
98,1,530,266
99,0,0,0
100,1,563,241
101,1,578,231
102,1,592,226
103,1,606,221
104,1,616,216
105,1,628,213
106,1,640,212
107,1,651,213
108,1,660,216
109,1,668,218
110,1,678,222
111,1,687,228
112,1,696,236
113,1,703,243
114,1,711,253
115,1,717,265
116,1,726,276
117,1,731,288
118,1,706,281
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,1,618,237
125,1,608,237
126,1,601,238
127,1,593,241
128,1,586,243
129,1,581,246
130,1,576,253
131,1,571,260
132,1,566,263
133,1,561,272
134,1,556,281
135,1,553,287
136,1,550,296
137,1,546,306
138,1,543,316
139,1,541,326
140,1,538,336
141,0,0,0
142,1,533,357
143,0,0,0
144,1,533,353
145,0,0,0
146,0,0,0
147,0,0,0
148,1,597,248
149,0,0,0
150,1,525,352
151,1,525,351
152,0,0,0
153,0,0,0
154,1,518,351
155,1,516,353
156,1,516,353
157,1,516,353
158,1,515,353
159,1,483,155
160,0,0,0
161,1,483,152
162,1,513,353
163,0,0,0
164,1,516,352
165,0,0,0
166,1,517,245
167,1,517,243
168,1,518,242
169,1,516,243
170,1,517,241
171,1,517,241
172,1,518,241
