index,x,y
27,612,382
29,608,352
30,560,258
31,598,308
36,585,265
37,580,257
38,608,248
43,570,258
44,570,261
45,567,265
49,627,212
50,643,201
51,653,191
53,677,178
54,691,173
55,701,171
56,710,168
57,721,171
58,730,171
59,738,173
60,746,178
61,756,183
63,771,201
64,778,211
65,786,223
66,791,236
67,798,246
68,803,261
69,811,281
70,816,296
71,821,316
72,823,332
73,828,353
74,832,371
77,803,288
79,793,273
81,786,258
82,783,251
83,780,248
84,775,245
85,771,242
86,767,241
87,763,241
88,761,243
89,758,246
90,756,246
91,751,253
92,751,256
93,750,261
96,745,283
99,756,227
100,757,206
102,761,176
103,765,165
104,766,152
105,767,142
106,768,138
107,771,131
108,771,128
109,771,126
110,772,126
112,773,128
113,773,131
114,772,136
115,772,142
116,772,151
117,771,157
118,768,171
119,767,183
121,765,211
122,762,227
123,761,241
124,758,261
125,756,281
126,756,300
127,752,320
128,751,341
129,748,363
130,746,386
131,746,405
132,753,366
134,757,312
135,761,293
136,763,281
137,765,271
138,766,261
140,648,283
141,653,283
142,771,246
143,771,246
144,771,247
145,772,251
146,775,252
147,773,257
148,776,261
149,776,267
150,776,273
151,776,281
152,777,288
153,777,297
154,778,308
155,786,296
156,786,283
158,793,263
159,793,258
160,796,252
161,796,246
162,797,241
163,796,241
166,796,242
167,796,245
168,796,246
169,796,253
170,796,261
171,795,266
172,792,275
173,791,285
174,790,296
175,788,306
176,787,318
177,786,331
181,786,235
182,785,170
183,786,115
184,786,68
185,686,312
186,786,6
196,668,242
204,718,213
223,780,7
224,778,23
225,778,40
226,776,56
227,776,71
228,776,86
230,725,165
231,676,226
232,651,255
233,622,292
234,598,323
235,577,355
236,557,381
237,540,410
238,523,435
239,507,460
240,492,486
241,478,511
242,467,520
243,456,526
244,446,535
245,438,541
246,428,550
247,421,556
248,416,561
249,408,566
250,403,571
251,397,576
252,393,578
253,388,583
254,386,586
255,381,590
256,376,593
257,375,596
