id,video,homography_matrix,upleft_x,upright_x,downright_x,downleft_x,upleft_y,upright_y,downright_y,downleft_y,db
1,TAI_Tzu_Ying_CHEN_Yufei_All_England_Open_2018_semi-Finals,"[[2.322520639856897, 1.1959152401221782, -1302.189079492495], [0.051637417282526694, 13.967655796790856, -4819.488397315984], [5.535970205103769e-05, 0.0069205771632861075, 1.0]]",403.0,880.4,1013.4,275.2,383.0,381.4,672.4,673.0,0
2,TAI_Tzu_Ying_Akane_YAMAGUCHI_All_England_Open_2018_Finals,"[[2.237411800343294, 1.1602483308836384, -1245.8297112727487], [0.018281658867295998, 13.517980785651389, -4623.931794435879], [1.7160633160297384e-05, 0.006696171529146233, 1.0]]",399.0,877.0,1009.2,270.2,381.0,380.4,670.8,671.2,0
3,TAI_Tzu_Ying_HE_Bingjiao_Indonesia_Open_2018_Semi_finals,"[[1.4942406318237187, 0.6552417402842659, -780.8970502121867], [-0.005782471851474179, 6.6287345700139655, -1576.2046768854657], [5.51105359741118e-07, 0.0037248112165748004, 1.0]]",432.2,846.2,986.4,290.6,284.8,285.2,662.4,661.2,0
4,TAI_Tzu_Ying_CHEN_Yufei_Indonesia_Open_2018_Finals,"[[1.1045459975690775, 0.4753019861299756, -530.0844707442659], [-0.006349238725595403, 4.818628716395241, -1094.819618811959], [-5.417073167322718e-06, 0.0027063029180032687, 1.0]]",398.2,876.4,1038.2,234.8,282.6,283.2,726.0,725.4,0
5,TAI_Tzu_Ying_CHEN_Yufei_French_Open_2018_Semi_finals,"[[2.4880008511898826, 1.4578717825672807, -1429.3372699157944], [0.015844929504520263, 11.02663268168097, -2120.691901123015], [3.091324347255757e-05, 0.008130095452919128, 1.0]]",468.2,818.2,1024.4,251.6,231.0,230.6,662.0,660.4,0
6,Akane_YAMAGUCHI_TAI_Tzu_Ying_French_Open_2018_Finals,"[[2.4572224907581766, 1.4377126208030182, -1407.0590197500367], [0.008345738890300563, 10.902570941997674, -2092.832260373085], [1.8736114716640607e-05, 0.008030141655887812, 1.0]]",466.6,817.0,1023.0,250.4,231.0,230.8,661.6,660.4,0
7,TAI_Tzu_Ying_Akane_YAMAGUCHI_All_England_Open_2019_Semi_finals,"[[2.0959092776035684, 1.1019669523076638, -1174.796050461142], [-0.018812827346091934, 12.64160238151947, -4330.451082727979], [-6.06029044696951e-05, 0.00630248774244379, 1.0]]",399.4,880.6,1012.2,265.4,383.4,383.8,678.0,681.0,0
8,CHEN_Yufei_TAI_Tzu_Ying_All_England_Open_2019_Finals,"[[2.224085941962082, 1.1809550393306072, -1253.0035526386537], [0.003908539429226309, 13.417174760977405, -4613.18891359797], [-8.379210496735367e-06, 0.006703241951242284, 1.0]]",399.8,880.4,1012.2,265.4,383.6,383.4,677.6,678.6,0
9,CHOU_Tien_Chen_Suppanyu_AVIHINGSANON_Chinese_Taipei_Open_2019_Round_of_32,"[[1.1012074833844723, 0.09236950095422494, -503.6313125217398], [-0.07583866657941092, 3.702485536694833, -774.4266524543957], [-5.6121111269597066e-05, 0.0015781333187256247, 1.0]]",466.2,846.6,990.4,447.8,275.8,283.2,666.0,659.2,0
10,CHOU_Tien_Chen_Sourabh_VERMA_Chinese_Taipei_Open_2019_Round_of_16,"[[1.2665613767002812, 0.06735670461320989, -604.3651458817196], [0.05794451095668633, 4.259825379126774, -1007.7404779467045], [-1.5161471596403961e-06, 0.001818802082695158, 1.0]]",492.0,848.4,994.4,485.8,283.2,278.0,631.2,642.0,0
